"Data Source","World Development Indicators",

"Last Updated Date","2021-06-30",
Country Name,Country Code,Indicator Name,Indicator Code,1960,1980,2000,2020,
OECD members,OED,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.1500968492749,70.2718273522561,75.6099399012921,81.01559004659,
Oman,OMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.4,47.562,71.569,86.276,
Other small states,OSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.4796609419269,38.8003980233329,49.820968024839,63.0624654450756,
Pakistan,PAK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.104,28.066,32.982,37.165,
Panama,PAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.249,50.447,62.198,68.414,
Peru,PER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.811,64.574,73.042,78.297,
Philippines,PHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.297,37.456,46.135,47.408,
Palau,PLW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.823,62.542,70.338,80.988,
Papua New Guinea,PNG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,3.725,13.047,13.204,13.345,
Poland,POL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.892,58.086,61.716,60.043,
Pre-demographic dividend,PRE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,13.4710419048135,22.7902135557022,32.0690511372989,42.3304784703917,
Puerto Rico,PRI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.547,67.835,94.387,93.581,
"Korea, Dem. People's Rep.",PRK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.195,56.9,59.412,62.381,
Portugal,PRT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.955,42.785,54.399,66.31,
Paraguay,PRY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.569,41.688,55.331,62.183,
West Bank and Gaza,PSE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.044,62.388,71.969,76.719,
Pacific island small states,PSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.4510486391758,28.716604998613,34.5439247527709,39.2578875204729,
Post-demographic dividend,PST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.2658109241686,71.7379289034698,76.4692789873574,81.6563408983992,
French Polynesia,PYF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.281,59.003,56.047,61.975,
Qatar,QAT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.275,89.363,96.311,99.235,
Romania,ROU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.209,46.07,53.004,54.194,
Russian Federation,RUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.731,69.751,73.35,74.754,
Rwanda,RWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2.6,4.721,14.926,17.432,
South Asia,SAS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.7436063685252,22.3294143727937,27.3813026943349,34.8822931298263,
Saudi Arabia,SAU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.25,65.86,79.848,84.287,
Sudan,SDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,10.746,19.959,32.495,35.253,
Senegal,SEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.0,35.769,40.32,48.122,
Singapore,SGP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100.0,100.0,100.0,100.0,
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,5.768,10.576,15.813,24.67,
Sierra Leone,SLE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.352,29.819,35.626,42.923,
El Salvador,SLV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.354,44.099,58.912,73.444,
San Marino,SMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,48.9,81.231,93.44,97.499,
Somalia,SOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.312,26.763,33.247,46.141,
Serbia,SRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.064,46.146,52.769,56.446,
Sub-Saharan Africa (excluding high income),SSA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.687729266626,22.3349610962981,31.3513221821924,41.2507300248977,
